pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,female_ppu_local,male_ppu_local,pink_tax_pct,match_quality,confidence,match_notes,ingredient_count_female,ingredient_count_male,ingredient_overlap_pct,top_5_shared,female_unique_count,male_unique_count,jaccard_similarity,data_source,obf_female_match,obf_male_match
BBLUNT-HAIRCOLO-HYD-AUTO001,Hyderabad,BBlunt,Hair Colour,BBlunt Salon Secret Hair Colour Women,BBlunt Men Hair Colour,100,100,Amazon.in,2026-03-09,333,284,INR,1,1,3.33,2.84,17.2535,3,HIGH,source=amazon_in_raw.csv,,,,,,,,,,
BIODERMA-FACIALCL-HYD-AUTO001,Hyderabad,Bioderma,Facial Cleanser,Bioderma Sensibio H2O Micellar Water Women (250ml),Bioderma Sébium H2O Men (200ml),250,200,Amazon.in,2026-03-09,629,899,INR,1,1,2.516,4.495,-44.0267,3,HIGH,source=amazon_in_raw.csv,10,10,90.0,allantoin|aqua|citric acid|cocamidopropyl betaine|glycerin,1,1,0.8182,fallback_table,built-in,built-in
BIOR-BODYLOTI-HYD-AUTO001,Hyderabad,Bioré,Body Lotion,Bioré Body Essence Milk Women 300ml,Bioré Men Body Lotion 300ml,300,300,Amazon.in,2026-03-09,1499,1799,INR,1,1,4.996667,5.996667,-16.6759,3,HIGH,source=amazon_in_raw.csv,10,10,80.0,aqua|ceramide|cetearyl alcohol|dimethicone|glycerin,2,2,0.6667,fallback_table,built-in,built-in
BIOR-BODYWASH-HYD-AUTO009,Hyderabad,Bioré,Body Wash,Bioré Guard Body Wash Women 480ml,Bioré Men Guard Body Wash 480ml,480,480,Amazon.in,2026-03-09,2040,2040,INR,1,1,4.25,4.25,0.0,3,HIGH,source=amazon_in_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
BIOR-DEODORAN-HYD-AUTO001,Hyderabad,Bioré,Deodorant Roll-On,Bioré Deo Foot & Body Sheet Women 32-pack,Bioré Men Deo Sheet 32-pack,100,100,Amazon.in,2026-03-09,650,1812,INR,1,1,6.5,18.12,-64.128,3,HIGH,source=amazon_in_raw.csv,10,10,80.0,aluminum chlorohydrate|aqua|cyclopentasiloxane|dimethicone|parfum,2,2,0.6667,fallback_table,built-in,built-in
BIOR-DEODORAN-HYD-AUTO011,Hyderabad,Bioré,Deodorant Roll-On,Bioré Soft Stone Deodorant Women (40ml),Bioré Deo Roll-On Men Cool Fresh (40ml),40,40,Amazon.in,2026-03-09,650,1812,INR,1,1,16.25,45.3,-64.128,3,HIGH,source=amazon_in_raw.csv,10,10,80.0,aluminum chlorohydrate|aqua|cyclopentasiloxane|dimethicone|parfum,2,2,0.6667,fallback_table,built-in,built-in
BIOR-FACEMOIS-HYD-AUTO001,Hyderabad,Bioré,Face Moisturizer,Bioré UV Moisture Milk Cream SPF50 Women (50ml),Bioré Men Face Milk Moist (50ml),50,50,Amazon.in,2026-03-09,1499,1299,INR,1,1,29.98,25.98,15.3965,3,HIGH,source=amazon_in_raw.csv,23,23,100.0,acrylates|aqua|c10-30 alkyl acrylate crosspolymer|capric triglyceride|caprylic,0,0,1.0,api,Gel nettoyant en profondeur au charbon,Gel nettoyant en profondeur au charbon
BIOR-FACIALCL-HYD-AUTO001,Hyderabad,Bioré,Facial Cleanser,Bioré Marshmallow Whip Face Wash 150ml,Bioré Men Facial Foam 130ml,150,130,Amazon.in,2026-03-09,873,699,INR,1,1,5.82,5.376923,8.2403,3,HIGH,source=amazon_in_raw.csv,10,10,70.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,3,3,0.5385,fallback_table,built-in,built-in
BIOR-HANDCREA-HYD-AUTO001,Hyderabad,Bioré,Hand Cream,Bioré Moist Hand Cream Women (60g),Bioré Men Hand Milk (60g),60,60,Amazon.in,2026-03-09,1140,699,INR,1,1,19.0,11.65,63.0901,3,HIGH,source=amazon_in_raw.csv,10,10,70.0,aqua|ceramide|cetearyl alcohol|dimethicone|glycerin,3,3,0.5385,fallback_table,built-in,built-in
BIOTIQ-BARSOAP-HYD-AUTO017,Hyderabad,Biotique,Bar Soap,Biotique Bio Almond Oil Nourishing Soap,Biotique Bio Neem Purifying Soap,100,100,Amazon.in,2026-03-09,107,156,INR,1,1,1.07,1.56,-31.4103,3,HIGH,source=amazon_in_raw.csv,10,10,70.0,aqua|glycerin|parfum|sodium chloride|sodium cocoate,3,3,0.5385,fallback_table,built-in,built-in
