pair_code,city,brand,category,gender_label,product_name,size_ml_or_g,price_local,currency,original_price_local,on_promotion,retailer,match_quality,confidence,date_scraped,source_url,scrape_status
BIOTIQ-BARSOAP-TKY-AUTO017,Tokyo,Biotique,Bar Soap,female,Biotique Bio Almond Oil Nourishing Soap,100,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,,URL_NOT_FOUND
BIOTIQ-BARSOAP-TKY-AUTO017,Tokyo,Biotique,Bar Soap,male,Biotique Bio Neem Purifying Soap,100,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,,URL_NOT_FOUND
COWBRA-BARSOAP-TKY-AUTO029,Tokyo,Cow Brand,Bar Soap,female,Cow Brand Excellent Beauty Soap 135g,135,1145.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B0BFVW2YMP,OK
COWBRA-BARSOAP-TKY-AUTO029,Tokyo,Cow Brand,Bar Soap,male,Cow Brand Excellent Men Soap 135g,135,537.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B0090VFGOU,OK
COWBRA-BARSOAP-TKY-AUTO030,Tokyo,Cow Brand,Bar Soap,female,Cow Brand Milk Soap Extra Rich Women (100g),100,1145.0,JPY,29802980.0,True,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B0BFVW2YMP,OK
COWBRA-BARSOAP-TKY-AUTO030,Tokyo,Cow Brand,Bar Soap,male,Cow Brand Blue Box Soap Men (100g),100,875.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B07W3Q9PCG,OK
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar,100,1582.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B0026IDPKQ,OK
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar,100,6960.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B00CHHKJ2S,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar Japan 135g,135,1800.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B001GBF0A2,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar Japan 135g,135,875.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B08LK1LBFX,OK
DOVE-BARSOAP-TKY-AUTO045,Tokyo,Dove,Bar Soap,female,Dove Cream Beauty Bathing Bar Shea Butter Women (1,100,1980.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B000NOFZFS,OK
DOVE-BARSOAP-TKY-AUTO045,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar (100g),100,875.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B08LK1LBFX,OK
FIAMA-BARSOAP-TKY-AUTO062,Tokyo,Fiama,Bar Soap,female,Fiama Women Gel Bar,100,880.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B07CJW4FBB,OK
FIAMA-BARSOAP-TKY-AUTO062,Tokyo,Fiama,Bar Soap,male,Fiama Men Gel Bar,100,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,https://www.amazon.co.jp/dp/B079KS44L8,PRICE_NOT_FOUND
FIAMA-BARSOAP-TKY-AUTO063,Tokyo,Fiama,Bar Soap,female,Fiama Gel Bar Peach & Avocado (125g),125,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,https://www.amazon.co.jp/dp/3925203699,PRICE_NOT_FOUND
FIAMA-BARSOAP-TKY-AUTO063,Tokyo,Fiama,Bar Soap,male,Fiama Men Refreshing Pulse Bar (125g),125,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,https://www.amazon.co.jp/dp/B079KS44L8,PRICE_NOT_FOUND
GODREJ-BARSOAP-TKY-AUTO080,Tokyo,Godrej,Bar Soap,female,Godrej Nupur Moisturising Soap (100g),100,2182.0,JPY,10781078.0,True,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B005ZLCIU4,OK
GODREJ-BARSOAP-TKY-AUTO080,Tokyo,Godrej,Bar Soap,male,Godrej Expert Men Soap (100g),100,1139.0,JPY,,False,Amazon.co.jp,3,HIGH,2026-03-10,https://www.amazon.co.jp/dp/B07YZ7FSGM,OK
HULHAM-BARSOAP-TKY-AUTO084,Tokyo,HUL/Hamam,Bar Soap,female,Hamam Neem Tulsi & Aloe Soap Women (100g),100,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,https://www.amazon.co.jp/dp/B004ZFEVQ0,PRICE_NOT_FOUND
HULHAM-BARSOAP-TKY-AUTO084,Tokyo,HUL/Hamam,Bar Soap,male,Hamam Men Active Protection Soap (100g),100,,JPY,,False,Amazon.co.jp,3,LOW,2026-03-10,https://www.amazon.co.jp/dp/B004ZFEVQ0,PRICE_NOT_FOUND
