pair_code,city,brand,category,gender_label,product_name,size_ml_or_g,price_local,currency,original_price_local,on_promotion,retailer,match_quality,confidence,date_scraped,source_url,scrape_status
BIOTIQ-BARSOAP-HYD-AUTO017,Hyderabad,Biotique,Bar Soap,female,Biotique Bio Almond Oil Nourishing Soap,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40192571/biotique-natural-makeup-magicolor-lipstick-barely-there-42-g/,PRICE_NOT_FOUND
BIOTIQ-BARSOAP-HYD-AUTO017,Hyderabad,Biotique,Bar Soap,male,Biotique Bio Neem Purifying Soap,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40120560/biotique-face-cleanser-bio-oriss-root-120-ml/,PRICE_NOT_FOUND
COWBRA-BARSOAP-HYD-AUTO029,Hyderabad,Cow Brand,Bar Soap,female,Cow Brand Excellent Beauty Soap 135g,135,,INR,,False,BigBasket,3,LOW,2026-03-09,,URL_NOT_FOUND
COWBRA-BARSOAP-HYD-AUTO029,Hyderabad,Cow Brand,Bar Soap,male,Cow Brand Excellent Men Soap 135g,135,,INR,,False,BigBasket,3,LOW,2026-03-09,,URL_NOT_FOUND
DOVE-BARSOAP-HYD-AUTO044,Hyderabad,Dove,Bar Soap,female,Dove Beauty Bar Japan 135g,135,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40019053/dove-cream-beauty-bathing-bar-soap-50-g-carton/,PRICE_NOT_FOUND
DOVE-BARSOAP-HYD-AUTO044,Hyderabad,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar Japan 135g,135,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40304903/dove-mencare-extra-fresh-dry-spray-antiperspirant-deodorant-250-ml/,PRICE_NOT_FOUND
FIAMA-BARSOAP-HYD-AUTO001,Hyderabad,Fiama,Bar Soap,female,Fiama Women Gel Bar,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40293676/fiama-happy-naturals-perfume-mists-yuzu-bergamot-long-lasting-fragrance-120-ml-bottle/,PRICE_NOT_FOUND
FIAMA-BARSOAP-HYD-AUTO001,Hyderabad,Fiama,Bar Soap,male,Fiama Men Gel Bar,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/20004248/fiama-gel-bathing-bar-men-refreshing-pulse-125-g/,PRICE_NOT_FOUND
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,female,Godrej Nupur Moisturising Soap (100g),100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40134366/godrej-professional-honey-moisture-shampoo-for-dry-damaged-hair-250-ml/,PRICE_NOT_FOUND
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,male,Godrej Expert Men Soap (100g),100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40065202/godrej-no1-bathing-soap-kesar-milk-cream-150-g/,PRICE_NOT_FOUND
HUL-BARSOAP-HYD-AUTO001,Hyderabad,HUL/Hamam,Bar Soap,female,Hamam Neem Tulsi & Aloe Soap Women (100g),100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40247806/cure-by-design-hemp-hearts-hulled-seeds-rich-in-protein-improves-muscle-growth-repair-200-g/,PRICE_NOT_FOUND
HUL-BARSOAP-HYD-AUTO001,Hyderabad,HUL/Hamam,Bar Soap,male,Hamam Men Active Protection Soap (100g),100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40333853/lego-marvel-iron-man-with-bike-the-hulk-playset-76287-68-pieces-pack-of-1/,PRICE_NOT_FOUND
HIMALAYA-BARSOAP-HYD-AUTO001,Hyderabad,Himalaya,Bar Soap,female,Himalaya Neem & Turmeric Soap,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40013483/himalaya-gentle-daily-care-protein-shampoo-400-ml/,PRICE_NOT_FOUND
HIMALAYA-BARSOAP-HYD-AUTO001,Hyderabad,Himalaya,Bar Soap,male,Himalaya Men Intense Oil Clear Soap,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40172802/himalaya-ayurveda-clear-skin-soap-125-g/,PRICE_NOT_FOUND
KAO-BARSOAP-HYD-AUTO001,Hyderabad,Kao/Merit,Bar Soap,female,Kao Biore Body Wash Soap Bar Women 100g,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40196016/lacto-calamine-daily-sunscreen-matte-look-spf-50-pa-kaolin-clay-50-g/,PRICE_NOT_FOUND
KAO-BARSOAP-HYD-AUTO001,Hyderabad,Kao/Merit,Bar Soap,male,Kao Biore Men Body Wash Soap Bar 100g,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40196016/lacto-calamine-daily-sunscreen-matte-look-spf-50-pa-kaolin-clay-50-g/,PRICE_NOT_FOUND
LION-BARSOAP-HYD-AUTO001,Hyderabad,Lion,Bar Soap,female,Lion Look Natural Select Bar Soap 100g,100,,INR,,False,BigBasket,3,LOW,2026-03-09,https://www.bigbasket.com/pd/40280903/lion-saffron-kashmiri-mongra-kesar-grade-a-used-for-cooking-glowing-skin-safe-for-pregnant-women-05-g/,PRICE_NOT_FOUND
