pair_code,city,brand,category,gender_label,product_name,size_ml_or_g,price_local,currency,original_price_local,on_promotion,retailer,match_quality,confidence,date_scraped,source_url,scrape_status
BIOTIQ-BARSOAP-HYD-AUTO017,Hyderabad,Biotique,Bar Soap,female,Biotique Bio Almond Oil Nourishing Soap,100,548.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/biotique-soya-protien-shampoo-180ml-morning-nectar-f-w-100ml-almond-oil-soap-150gm/p/itm141c4a6924dc8,OK
BIOTIQ-BARSOAP-HYD-AUTO017,Hyderabad,Biotique,Bar Soap,male,Biotique Bio Neem Purifying Soap,100,500.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/biotique-walnut-shampoo-180ml-fresh-neem-f-w-100ml-himalayan-plum-soap-150gm/p/itmf8906c06e10f7,OK
FIAMA-BARSOAP-HYD-AUTO001,Hyderabad,Fiama,Bar Soap,female,Fiama Women Gel Bar,100,189.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/cosmaura-seven-green-nature-triangle-herbal-shampoo-bar-anti-hair-fall-100-g/p/itmb03674bcf965c,OK
FIAMA-BARSOAP-HYD-AUTO001,Hyderabad,Fiama,Bar Soap,male,Fiama Men Gel Bar,100,300.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/savlon-menthol-glycerin-cool-bathing-bar-soap-all-skin-types-99-99-germ-protection/p/itmfd2c9641aad91,OK
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,female,Godrej Nupur Moisturising Soap (100g),100,173.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/godrej-no-1-lime-alovera-natural-oils-100-gm-soap/p/itme6a1ce2b287b3,OK
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,male,Godrej Expert Men Soap (100g),100,242.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/godrej-cool-100-gm-soap-pack-4/p/itm376ad6da6f574,OK
LUX-BARSOAP-HYD-AUTO001,Hyderabad,Lux,Bar Soap,female,Lux Soft Touch Soap 100g,100,101.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/kalah-herbals-sinche-body-facial-soap-skincare-nourishing-brightning/p/itme568b9cec76a3,OK
LUX-BARSOAP-HYD-AUTO001,Hyderabad,Lux,Bar Soap,male,Lux Men Sport Fresh Soap 100g,100,278.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/aramusk-wipro-soap-men-classic-musk-fragrance/p/itmc329457984697,OK
BIOTIQUE-BODYLOTI-HYD-AUTO001,Hyderabad,Biotique,Body Lotion,female,Biotique Bio Almond Oil Moisturizer 200ml,200,160.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/sheny-soft-nourishing-massage-body-oil-almond-honey-blend/p/itmc6a79f0441541,OK
BIOTIQUE-BODYLOTI-HYD-AUTO001,Hyderabad,Biotique,Body Lotion,male,Biotique Bio Morning Nectar Moisturizer 200ml,200,126.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/biotique-morning-nectar-flawless-skin-moisturizer-24h-deep-moisture/p/itm50eb92cd2e018,OK
HIMALAYA-BODYLOTI-HYD-AUTO001,Hyderabad,Himalaya,Body Lotion,female,Himalaya Nourishing Skin Cream 150ml,150,649.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/himalaya-herbals-revitalizing-night-cream-50g-pack-3/p/itm73668e6e18641,OK
HIMALAYA-BODYLOTI-HYD-AUTO001,Hyderabad,Himalaya,Body Lotion,male,Himalaya Men Intense Moisturizing Cream 150ml,150,118.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/man-company-daily-moisturising-cream-shea-butter-vitamin-e/p/itmfaar8hfswxfeg,OK
NIVEA-BODYLOTI-HYD-AUTO001,Hyderabad,Nivea,Body Lotion,female,Nivea Soft Moisturizing Cream 200ml,200,496.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/nivea-men-women-soft-moisturizing-cream-face-body-hands-vitamin-e-pack-2/p/itmc07520230e26d,OK
NIVEA-BODYLOTI-HYD-AUTO001,Hyderabad,Nivea,Body Lotion,male,Nivea Men Creme 150ml,150,412.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/nivea-men-daily-use-non-greasy-moisturizer-cream-face-body-hands-pack-2/p/itmbb49c7520c3ff,OK
DOVE-BODYWASH-HYD-AUTO046,Hyderabad,Dove,Body Wash,female,Dove Deeply Nourishing Body Wash,100,137.0,INR,,False,Flipkart,3,HIGH,2026-03-18,https://www.flipkart.com/coronation-herbal-coffee-chocolate-body-wash/p/itm35880ecb6ec78,OK
