pair_code,city,brand,category,gender_label,product_name,size_ml_or_g,price_local,currency,original_price_local,on_promotion,retailer,match_quality,confidence,date_scraped,source_url,scrape_status
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar,100,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar,100,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar Japan 135g,135,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar Japan 135g,135,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
POLA-BARSOAP-TKY-AUTO216,Tokyo,Pola,Bar Soap,female,Pola Aroma Essence Soap Women (100g),100,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
POLA-BARSOAP-TKY-AUTO216,Tokyo,Pola,Bar Soap,male,Pola Grooming Agency Soap Men (100g),100,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
BIOR-BODYLOTI-TKY-AUTO008,Tokyo,Bioré,Body Lotion,female,Bioré Body Essence Milk Women 300ml,300,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
BIOR-BODYLOTI-TKY-AUTO008,Tokyo,Bioré,Body Lotion,male,Bioré Men Body Lotion 300ml,300,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
KAOATR-BODYLOTI-TKY-AUTO110,Tokyo,Kao/Atrix,Body Lotion,female,Atrix Skin Milk Hand & Body Lotion Women (250ml),250,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
KAOATR-BODYLOTI-TKY-AUTO110,Tokyo,Kao/Atrix,Body Lotion,male,Kao Men's Biore Body Milk (200ml),200,415.0,JPY,,False,Matsumoto Kiyoshi,3,HIGH,2026-03-18,https://www.matsukiyococokara-online.com/store/catalog/product/view/id/4902011112023,OK
