pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,match_quality,confidence,match_notes
ANESSA-SUNSCREE-HYD-AUTO001,Hyderabad,Anessa,Sunscreen,Anessa Perfect UV Sunscreen Women SPF50 (60ml),Anessa Men Sunscreen Gel SPF50 (90ml),60,90,Amazon.in,2026-03-09,228,369,INR,0,0,3,HIGH,source=amazon_in_raw.csv
BBLUNT-HAIRCOLO-HYD-AUTO001,Hyderabad,BBlunt,Hair Colour,BBlunt Salon Secret Hair Colour Women,BBlunt Men Hair Colour,100,100,Amazon.in,2026-03-09,333,284,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIODERMA-BODYWASH-HYD-AUTO001,Hyderabad,Bioderma,Body Wash,Bioderma Atoderm Shower Oil Women (200ml),Bioderma Sebiaclear Body Wash Men (200ml),200,200,Amazon.in,2026-03-09,1259,1259,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIODERMA-FACIALCL-HYD-AUTO001,Hyderabad,Bioderma,Facial Cleanser,Bioderma Sensibio H2O Micellar Water Women (250ml),Bioderma Sébium H2O Men (200ml),250,200,Amazon.in,2026-03-09,629,899,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-BODYLOTI-HYD-AUTO001,Hyderabad,Bioré,Body Lotion,Bioré Body Essence Milk Women 300ml,Bioré Men Body Lotion 300ml,300,300,Amazon.in,2026-03-09,1499,1799,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-BODYWASH-HYD-AUTO009,Hyderabad,Bioré,Body Wash,Bioré Guard Body Wash Women 480ml,Bioré Men Guard Body Wash 480ml,480,480,Amazon.in,2026-03-09,2040,2040,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-DEODORAN-HYD-AUTO001,Hyderabad,Bioré,Deodorant Roll-On,Bioré Deo Foot & Body Sheet Women 32-pack,Bioré Men Deo Sheet 32-pack,100,100,Amazon.in,2026-03-09,650,1812,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-DEODORAN-HYD-AUTO011,Hyderabad,Bioré,Deodorant Roll-On,Bioré Soft Stone Deodorant Women (40ml),Bioré Deo Roll-On Men Cool Fresh (40ml),40,40,Amazon.in,2026-03-09,650,1812,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-FACEMOIS-HYD-AUTO001,Hyderabad,Bioré,Face Moisturizer,Bioré UV Moisture Milk Cream SPF50 Women (50ml),Bioré Men Face Milk Moist (50ml),50,50,Amazon.in,2026-03-09,1499,1299,INR,1,1,3,HIGH,source=amazon_in_raw.csv
BIOR-FACIALCL-HYD-AUTO001,Hyderabad,Bioré,Facial Cleanser,Bioré Marshmallow Whip Face Wash 150ml,Bioré Men Facial Foam 130ml,150,130,Amazon.in,2026-03-09,873,699,INR,1,1,3,HIGH,source=amazon_in_raw.csv
