pair_code,city,brand,category,gender_label,product_name,size_ml_or_g,price_local,currency,original_price_local,on_promotion,retailer,match_quality,confidence,date_scraped,source_url,scrape_status
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar,100,5490.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/americana/dovewhite-8/?variantId=dovewhite-8,OK
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar,100,5200.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/laurette/dove-s990291287/?variantId=dove-deooriginal3set-fc,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,female,Dove Beauty Bar Japan 135g,135,2990.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/americana/dovewhite-4/?variantId=dovewhite-4,OK
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,male,Dove Men+Care Clean Comfort Bar Japan 135g,135,4800.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/laurette/dove-s99033843/?variantId=dove-deooriginal3set-fc,OK
POLA-BARSOAP-TKY-AUTO216,Tokyo,Pola,Bar Soap,female,Pola Aroma Essence Soap Women (100g),100,1000.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/cosmelifeshop/pola-s-015-1/?variantId=pola-s-015-1,OK
POLA-BARSOAP-TKY-AUTO216,Tokyo,Pola,Bar Soap,male,Pola Grooming Agency Soap Men (100g),100,1842.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/buckteeth/jan-4989999424065/?variantId=jan-4989999424065,OK
BIOR-BODYLOTI-TKY-AUTO008,Tokyo,Bioré,Body Lotion,female,Bioré Body Essence Milk Women 300ml,300,4224.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/loveyourself/2000168629547/?variantId=2000168629547,OK
BIOR-BODYLOTI-TKY-AUTO008,Tokyo,Bioré,Body Lotion,male,Bioré Men Body Lotion 300ml,300,36966.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/biccamera/4901301306074/?variantId=4901301306074,OK
KAOATR-BODYLOTI-TKY-AUTO110,Tokyo,Kao/Atrix,Body Lotion,female,Atrix Skin Milk Hand & Body Lotion Women (250ml),250,,JPY,,False,Rakuten Japan,3,LOW,2026-03-10,https://item.rakuten.co.jp/kaori39/yifan377/,REQUEST_ERROR
KAOATR-BODYLOTI-TKY-AUTO110,Tokyo,Kao/Atrix,Body Lotion,male,Kao Men's Biore Body Milk (200ml),200,1350.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/kaori39/yifan377?s-id=sd_browsehist_search,OK
POLA-BODYLOTI-TKY-AUTO217,Tokyo,Pola,Body Lotion,female,Pola B.A. Body Lotion Women (200ml),200,3199.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/bestlifeshop/pola-2629/?variantId=pola-2629,OK
POLA-BODYLOTI-TKY-AUTO217,Tokyo,Pola,Body Lotion,male,Pola Grooming Agency Body Gel Men (150ml),150,3598.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/cosme21/pola9161/?variantId=pola9161,OK
KAO-BODYWASH-TKY-AUTO103,Tokyo,Kao,Body Wash,female,Kao Jergens Body Wash Sakura Women (450ml),450,1350.0,JPY,,False,Rakuten Japan,3,HIGH,2026-03-10,https://item.rakuten.co.jp/kaori39/yifan377?s-id=sd_browsehist_search,OK
